exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Wrist Rock on Knees,Single Leg,Upper Extremity,None,"Rectus Abdominis, Forearm Flexors and Extensors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Rock%20on%20Knees.mp4,Wrist Rock on Knees begins by kneeling down on the ground and placing your knuckles flat on the floor with your palms facing each other. Your hands should be directly under your shoulders. Slowly rock your body forward and back.,https://d351vh8f4f3ihs.cloudfront.net/Wrist_Rock_on_Knees.mp4
Double Limb Deadbug,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Double%20Limb%20Deadbug.mp4,"Double Limb Deadbug begins lying supine on the ground, with knees bent and knees over the hips, creating a 90-90 shape and arms extending up towards the ceiling. To initiate the movement, keeping the lower back set on the floor throughout, begin to extend the arms back overhead while simultaneously extending the heels forward, so you're now in a hollow body shape. Then, bring the legs and arms back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Double_Limb_Deadbug.mp4
Six Inches,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Six%20Inches.mp4,"Six Inches begins lying supine (face up) with the legs in extension and arms down by the side. The movement initiates by tucking the ribcage toward the pelvis, elevating the heels and lifting the upper back and head from the ground to approximately 6 inches, and holding the hollow position for the prescribed time domain.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Six_Inches.mp4
Forearm Plank Posterior Pelvic Tilt,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors, Glutes",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Forearm%20Plank%20Posterior%20Pelvic%20Tilt.mp4,"Forearm Plank Posterior Pelvic Tilt begins in a forearm plank position. To initiate the movement, first find an anterior pelvic tilt by extending the tailbone up towards the ceiling, and allowing the back to arch. Then, find the PPT (posterior pelvic tilt) by tucking the tailbone and squeezing through the glutes and rounding and protracting through the upper back.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Forearm_Plank_Posterior_Pelvic_Tilt.mp4
Windshield Wiper,Single Leg,Core,None,"Rectus Abdominis, Obliques",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Windshield%20Wipers.mp4,"Windshield Wiper begins by lying flat on your back with your arms extended out to the sides and your palms facing down. Lift your legs up to the ceiling, keeping them straight and together. Slowly lower your legs to one side, rotating at the hips and keeping your upper body flat on the ground. Stop when your legs are just above the ground, then bring them back up to the starting position and lower them to the opposite side. Keep your movements controlled and avoid swinging your legs. Repeat for the prescribed number of reps and sets.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Windshield_Wipers.mp4
Bicycle Crunch,Stabilization,Core,None,"Rectus Abdominis, Transverse Abdominis",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Bicycle%20Crunch.mp4,"Bicycle Crunch begins lying supine on the floor with legs in a 90-90 position and hands behind the head with the back of the shoulders lifted away from the floor. To initiate the movement, pull the opposite knee and elbow together cross-body while extending the other leg forward. Then, return to starting position and repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Bicycle_Crunch.mp4
Rolling Deadbug,Stabilization,Core,None,"Rectus Abdominis, Transverse Abdominis, Obliques",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Rolling%20Deadbug.mp4,"Rolling Deadbug begins in a supine position on the floor, with hips and knees both flexed at 90 degrees, and arms extended up towards the ceiling. To initiate the movement, gently rock over onto one side, balancing on the side of the body, keeping the core engaged, and keeping the legs in their position. Then, rock back to the center, and rock over to the second side, then back to the center. Continue for the prescribed amount of time or repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Rolling_Deadbug.mp4
Crunch,Stabilization,Core,None,Rectus Abdominus,https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Crunch.mp4,"Crunch begins in a supine position, with hands interlaced behind the head, knees bent, and heels on the floor. To initiate the movement, keep the low back rooted to the floor, begin to lift the chest up towards the ceiling, keeping the neck neutral, and then with control, lower back down to the ground.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Crunch.mp4
Bicycle Toe Touch,Stabilization,Core,None,"Rectus Abominis, Transverse Abdominis",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Bicycle%20Toe%20Touch.mp4,"Bicycle Toe Touch begins lying supine on the floor with legs in a 90-90 position and elbows in by the side ribs. To initiate the movement, pull one knee in towards the chest while crunching forward and touch both hands towards the bent knee foot, then return to starting position and alternate to the other side.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Bicycle_Toe_Touch.mp4
Hip Swings,Single Leg,Lower Extremity,None,"Abductors, Glutes, Adductors, TFL",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2012%20DEC_Hip%20Swing.mp4,"Hip Swing begins a supported standing position, with hands on a wall in front of you, feet about hip-width apart. To initiate the movement, pick one foot up off the floor, and swing it in front of the stable standing leg. Then, swing the leg laterally out wide and to the side, drawing the leg up as high as you can, then immediately swing the leg back down and in front of the stable leg, and back out to the side, like a pendulum. Repeat for the prescribed amount of repetitions, then switch sides.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_12_DEC_Hip_Swing.mp4
Kneeling Thoracic Rotation,Stabilization,Thoracic,None,Transverse Abdominis,https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Kneeling%20Thoracic%20Rotation.mp4,"Begin in a kneeling seat, with hands down in front of the knees, arms long. Bring one hand back behind your head. To initiate the movement, rotate through the core in the direction of the hand that's behind your head, rotating as fully as you can, and only using your core to rotate. Then, rotate back so the chest is facing the floor. Repeat for the prescribed amount of repetitions or time.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Kneeling_Thoracic_Rotation.mp4
Supine Single Leg Leg Lowering,Stabilization,Core,None,"Hip Flexors, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Leg%20Lowering.mp4,"Supine Single Leg Leg Lowering begins lying supine (face up) with both arms down by the sides, feet together and legs straight. The movement initiates by flexing at the hips and raising both legs to approximately 90 degrees or perpendicular with the hips, keeping the knees extended. Then alternating one leg at a time, lowering the heel to the floor, then raising back to the ceiling, alternating and repeating.",https://d351vh8f4f3ihs.cloudfront.net/Supine_Leg_Lowering.mp4
Unilateral Deadbug,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Unilateral%20deadbug.mp4,"Unilateral Deadbug begins lying supine (face up) with the lower back in contact with the ground, knees flexed to approximately 90 degrees, feet elevated from the floor, both arms reaching in extension perpendicular to the chest, and squeezing a foam roller between the knee and tricep of one side. The movement initiates by reaching the arm overhead and extending the leg on the same side, opposite the side with the foam roller. Then returning back to center and repeating for the prescribed amount of reps.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Unilateral_deadbug.mp4
Seated Forward Fold,Stretch,Lumbar,None,"Hamstrings, Erector Spinae",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Seated%20Forward%20Fold.mp4,"Seated Forward Fold begins by sitting on the floor with legs extended in front of you, feet flexed, and toes pointing up. Sit up tall with a straight spine, inhale deeply, and on the exhale, hinge forward from the hips, reaching forward with your hands toward your feet. As you fold forward, keep your spine straight and your neck relaxed. Continue to hinge forward until you feel a stretch in your hamstrings, then hold the position for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Seated_Forward_Fold.mp4
Segmental Cat Cow,Stretch,Lumbar,None,"Erector Spinae, Glutes, Thoracic Spine",https://usa-new-york-001.nyc3.digitaloceanspaces.com/Exercises/Additional_videos/Segmented%20Cat%20Cow.mp4,"Segmental Cat Cow is an active recovery movement that begins on all fours, with a neutral spine. The movement initiates with a deep inhalation, extending at spinal column, into the ""cow"" position. Beginning in the lower spine region, and continuing along the column by segments, through the mid to upper region and finishing at the upper column. Then with a deep exhale, reversing the order of the segments, and flex the column from upper, mid to lower, finishing in the ""cat"" position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Segmented_Cat_Cow.mp4
Backward Walk,Gait,Lower Extremity,None,"Quadriceps, Calves",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Backward%20Walk.mp4,"Backward Walk begins in a tall standing posture. To initiate the movement, take one step backward and alternate the other foot stepping back so you are walking backward.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Backward_Walk.mp4
Butt Kickers,Plyometric,Lower Extremity,None,"Quadriceps, Calves",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Butt%20Kickers.mp4,Butt Kickers are done when a client lightly runs while trying to touch their heel to butt.,https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Butt_Kickers.mp4
Full Squat Burpee,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Anterior Deltoids, Pecs, Triceps, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Full%20Squat%20Burpee.mp4,"Full Squat Burpee begins in a tall standing position, with feet about hip-width apart or slightly wider, core braced, the crown of the head tall, and arms hanging down by your sides. To initiate the movement, perform a squat by bending the knees forward and out, while sinking the hips back and down, lowering to the very bottom of your squat, then bringing the hands down underneath the shoulders, jumping the feet back to a plank, then immediately lowering the body down to the bottom of a push-up, lowering the whole front of the body onto the floor. Then, push back up from the knees, and jump the feet outside of the hands, so you're in the bottom of a squat position, then drive through the heels and explosively extend the legs to ascend back up and jump the feet away from the floor, then lightly land back onto the ground.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Full_Squat_Burpee.mp4
Single Leg Broad Jump,Plyometric,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings, Calves",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Single%20Led%20Broad%20Jump.mp4,"Single Leg Broad Jump begins tall standing with feet underneath the hips, weight in the mid foot and both arms down by the side. The movement initiates by lifting one foot from the ground, keeping the weight through the middle of the working foot, with a slight hinge at the hip, and soft flexion at the knee, working with opposite arm and leg action, extending at the knee and hip and jumping for submaximal distance, landing on the middle of the working foot, recoiling and repeating. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Single_Led_Broad_Jump.mp4
Shuttle Run,Plyometric,Lower Extremity,None,"Quadriceps, Gluteus Maximus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Shuttle%20run.mp4,"Shuttle Run begins standing at starting position marked by cones, a line, or other denotation. The movement initiates by running in the direction of the destination marker and changing direction on the inside foot and turning the body to approximately 90 degrees and staying low to the ground during the transition and returning to the original cone or starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Shuttle_run.mp4
Saddle Pose,Stretch,Lower Extremity,None,"Quadriceps, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Saddle%20Pose.mp4,"Saddle Pose begins in a kneeling seat on the floor, with shins and tops of the feet making contact with the floor, the glutes at down on the heels, knees wider than hip-width apart, upper body leaning back, and hands on the floor behind you for stability. If this is uncomfortable, place a yoga block or similar object between your seat and heels to take pressure off the knees. Additionally, if this feels too easy, lean back further, and you can lower down to the forearms, or even lower all the way down onto the back.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Saddle_Pose.mp4
Knees Over Toes Split Squat,Strengthening,Lower Extremity,None,"Quadriceps, Hip Flexors, Glutes, Hamstrings, Calves",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Knees%20Over%20Toes%20Split%20Squat.mp4,"Knees Over Toes Split Squat begins in a split stance position with both legs extended, with the front heel down and on the ball of the back foot. To initiate the movement, bend into the front knee and glide the upper body forward, allowing the front knee to move beyond the front toes, letting the front heel lift away from the ground, and bending the back knee towards the floor without it touching the floor. Then, begin to glide back and up to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Knees_Over_Toes_Split_Squat.mp4
Bodyweight Turkish Get-Up,Strengthening,Lower Extremity,None,"Quadriceps, Rectus Abdominis, Oblique, Transverse Abdomnis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/BW%20Turkish%20Get%20Up.mp4,"Bodyweight Turkish Get-Up begins lying supine on the floor, with one arm extended up towards the ceiling, the same side leg bent with the heel on the ground and the other arm extended out to the side on the floor. To initiate the movement, push off the grounded hand, and lift the upper body away from the floor. Then, lift the hips and reverse kick the forward leg back so you're in a half-kneeling position. Then, stand up. Now, reverse the movement by lunging the moving leg back, lower your hand down to the side, kick-through, lower the hips, and lay back down to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/BW_Turkish_Get_Up.mp4
Toe Squat,Strengthening,Lower Extremity,None,"Quadriceps, Gastrocnemius, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Toe%20Squat.mp4,"Toe Squat begins tall standing with the feet together, underneath the hips, and arms down by the side. The movement initiates by extending at the ankle onto the balls of the feet, flexing at the knees and sitting the hips straight down over the middle of the foot, to approximately 90 degrees, keeping the weight in the ball of the foot. Then driving through the ball of the foot, extending the knees, and finishing tall standing.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Toe_Squat.mp4
Side Lying Abduction,Strengthening,Lower Extremity,None,"Abductors, Glutes, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Lying%20Abduction.mp4,"Side Lying Abduction begins laying on the side with legs and bottom arm in extension. With a flexed foot, and straight knee, the movement initiates by raising the top leg away from the middle of the body finishing at approximately 45 degrees and returning under control.",https://d351vh8f4f3ihs.cloudfront.net/Side_Lying_Abduction.mp4
Side Plank Abduction,Stabilization,Lower Extremity,None,"Abductors, Glutes, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Abduction%20.mp4,"Side Plank Abduction is an anti lateral flexion, core exercise that begins in the side plank position, with the bottom elbow underneath the shoulder and the legs in extension and top arm on the hip. The movement will initiate by raising the top leg away from the body, and return under control and repeat. ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Abduction_.mp4
Frog Stretch,Stretch,Lower Extremity,None,"Abductors, Groin, Glutes, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Frog%20Stretch.mp4,"Frog Stretch begins by coming into a quadruped position on the ground, then walking the knees out laterally to be wider than shoulder-width apart, and lowering down onto the forearms. Keep shins and heels in line with the knees. You can make the stretch more dynamic by steadily shifting forward and back. Widening the knees and shifting the hips further back will increase sensation in the stretch.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Frog_Stretch.mp4
Dynamic Straddle Stretch,Stretch,Lower Extremity,None,"Abductors, Hamstrings, Glutes, Quadriceps, Hip Flexors, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Dynamic%20Straddle%20Stretch.mp4,"Dynamic Straddle Stretch begins in a seated straddle position. To stay engaged, flex through the glutes and quadriceps throughout the movement. To initiate the movement, hinge from the waist and reach forward between the legs. Then, come back up to a tall spine and turn your chest to face one leg, then reach forward towards the toes, and come back up. Then, to complete the cycle, turn the chest to face the second leg and reach towards the toes, then come back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Dynamic_Straddle_Stretch.mp4
Contralateral Core Lift,Stabilization,Core,None,"Adductors, Anterior Deltoids, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Contralateral%20Core%20Lift.mp4,"Contralateral Core Lift begins in a prone position, with one forearm down laid parallel under the chest and leg extended out on one side of the body, and hand placed on the hip and leg in a half frog position on the other side of the body. To initiate the movement, begin to lift the front of the body away from the ground, pressing down through the forearm on one side of the body and driving down through the knee on the other side of the body.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Contralateral_Core_Lift.mp4
Side Lying Hip Internal Rotation,Strengthening,Lower Extremity,None,"Adductors, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Side%20Lying%20Hip%20Internal%20Rotation.mp4,"Side Lying Hip Internal Rotation begins lying on the side, with knees flexed under the hips and feet positioned at 90 degrees behind the knee. The movement initiates by rotating the ankle away from the middle of the body, to approximately 45 degrees, internally rotating at the hip, and returning back to the set up position under control.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Side_Lying_Hip_Internal_Rotation.mp4
Hip Internal Rotation Mobility,Range of Motion,Lower Extremity,None,"Adductors, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Hip%20Internal%20Rotation%20Mobility.mp4,"Hip Internal Rotation Mobility begins in a 90-90 position on the floor, with the front leg externally rotated and knee bent at 90 degrees, and the back leg internally rotated with knee bent at 90 degrees and back thigh forming a straight line from knee to hip. To come into position, turn the torso over the internally rotated leg and hinge the upper body towards the internally rotated leg and hold, using hands for support.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Hip_Internal_Rotation_Mobility.mp4
Quadruped Hip Internal Rotation,Strengthening,Lower Extremity,Bench,"Adductors, Hip Flexors, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Quadruped%20Hip%20Internal%20Rotation.mp4,"Quadruped Hip Internal Rotation begins on the hands and knees, with hands beneath the shoulders, arms straight, knees beneath the hips, knees and shins distanced about hip-width apart, and spine and pelvis neutral. To initiate the movement, stay on one leg, curl your heel up towards your glute, rotate the shin and foot outside of the body, then lightly tap your toes to the floor. Then, reverse the movement by picking the foot back up vertically, rotating the shin back towards the body, then, lightly setting the foot back onto the floor in starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Quadruped_Hip_Internal_Rotation.mp4
Staggered Stance Bodyweight Good Morning,Strengthening,Lower Extremity,None,"Erector Spinae, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Bodyweight%20Staggered%20Stance%20Good%20Morning.mp4,"Staggered Stance Bodyweight Good Morning begins standing, in a staggered stance, with one foot just in front of the hip, weight in the mid foot, the other foot just behind the hip, weight in the ball, and both arms crossed over the chest. The movement initiates by hinging at the hips, keeping the back flat, and reaching the hips back and chest to the floor to approximately 45 degrees, then standing, extending the hips, and finishing tall.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Bodyweight_Staggered_Stance_Good_Morning.mp4
Supine Glute Contraction,Strengthening,Lower Extremity,None,"Transverse Abdominis, Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Supinated%20Glute%20Contraction.mp4,"Supinated Glute Contraction begins lying supine (face up) on the ground, with the legs in extension and arms down by the side. The movement initiates by flexing the glutes, holding for the prescribed time domain, releasing, then repeating. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Supinated_Glute_Contraction.mp4
Hip Internal Rotation,Strengthening,Lower Extremity,None,"Glutes, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Hip%20Internal%20Rotation.mp4,"Hip Internal Rotation begins in a pseudo 90-90 position on the floor, with both knees bent, front leg in external rotation, back leg in internal rotation, with back knee meeting the sole of the front foot. Keep the arms crossed over the chest to isolate the hips. To initiate the movement, begin to open up through the back leg, externally rotating the back leg, and begin internally rotating through the front leg to land in the same pseudo 90-90 position now facing the opposite direction and the legs switched.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Hip_Internal_Rotation.mp4
Bridge Walkout,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Bridge%20Walkout.mp4,"Bridge Walkout begins lying supine on the floor, with heels down and knees pointed up to the ceiling. To come into starting position, come into a glute bridge by extending the hips up towards the ceiling, and bring the hands together in prayer above the shoulders with arms extended. From the glute bridge position, begin to walk to the heels forward till the legs are extended, keeping the glutes off the floor. Then, walk the feet back into starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Bridge_Walkout.mp4
Single Leg Deadlift with Hand Support,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Single%20Leg%20Deadlift%20with%20Hand%20Support.mp4,"Single Leg Deadlift with Hand Support begins tall standing, facing the rack or alternative apparatus, both feet underneath the hips, weight in the mid foot, one hand down by the side and the opposite hand holding the rack for support. The movement initiates by elevating the same foot and the hand holding the rack, hinging at the hips, with soft flexion at the knee, keeping the weight through the middle of the foot, and reaching the opposite leg back behind the body, finishing extended, while holding the rig for support, then standing, extending the hips, and bringing the trail foot forward, back under the hips and finishing tall standing. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Single_Leg_Deadlift_with_Hand_Support.mp4
Supine Hip Extension,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Supine%20Hip%20Extension.mp4,"Supine Hip Extension begins lying supine (face up) with the knees flexed and heels in the ground, both arms in extension horizontally, stacked over the shoulders. The movement initiates by driving the heels through the ground and the hips into extension, squeezing the butt, then lowering the hips back to the ground, under control. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Supine_Hip_Extension.mp4
Marching Bridge,Strengthening,Lower Extremity,None,"Glutes, Hamstrings, Hip Flexors, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Marching%20bridge.mp4,"Marching Bridge begins in a bridge position, with heels and shoulder blades on the floor, hips and legs extended up towards the ceiling, feet about hip-width apart, and arms over the chest, palms together. To initiate the movement, drive down through one heel, and draw the other knee up and back towards the chest. Then, with control, lower the heel back down to the bridge position. Next, alternate lifting the second heel up off the floor, and draw the knee back towards the chest, remaining stable everywhere else in the body. Then, with control, lower the foot back down.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Marching_bridge.mp4
Side Lying Leg Adduction,Strengthening,Lower Extremity,None,"Glutes, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Side%20Lying%20Leg%20Adduction.mp4,"Side Lying Leg Adduction begins lying on the side with the top leg across the body and heel in the ground for additional stability and the bottom leg in extension. The athlete will raise the bottom leg, towards the middle of the body and return under control. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Side_Lying_Leg_Adduction.mp4
5 Way Hip,Range of Motion,Lower Extremity,None,"Glutes, Hip Flexors ",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/5%20Way%20Hip.mp4,"5 Way Hip begins lying flat on the ground, on your side, with your bottom arm extended overhead and your bicep/shoulder area acting as a pillow for your head, your top arm bent at 90 degrees and your palm pressed flat onto the ground in front of the chest. Keeping the legs straight throughout the exercise, to initiate the movement, 1) laterally abduct your top leg up towards the ceiling and then back down to meet your bottom leg, 2) kick the top leg forward in front of you, and then back to legs together, 3) kick your top leg straight back, and then forward to bring the legs back together, 4) kick your leg straight forward in front of the body, and then all the way back behind the body and 5) zig-zag the top leg forward and back as you simultaneously move the leg up towards the ceiling, and repeat this pattern on the way back down to legs together.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/5_Way_Hip.mp4
Prone Bent Leg Hip Extension,Strengthening,Lower Extremity,Band,"Glutes, Hip Flexors, Hamstrings, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Prone%20Bent%20Leg%20Extension.mp4,"Prone Bent Leg Hip Extension begins lying prone on the floor, with one knee bent and heel up towards the ceiling. To initiate the movement, kick the heel further up towards the ceiling, then slowly lower back down.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Prone_Bent_Leg_Extension.mp4
Curtsy Lunge,Strengthening,Lower Extremity,None,"Glutes, Quadriceps, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Curtsy%20Lunge.mp4,"Curtsy Lunge begins in a tall standing posture with feet close together. To initiate the movement, begin to lift one foot and step it back and behind the stable leg, bending down into both knees. Then, with control, drive through the front heel to stand back into a tall standing position. Repeat on the second side.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Curtsy_Lunge.mp4
Lateral Shuffle,Plyometric,Lower Extremity,None,"Glutes, Quadriceps, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Lateral%20Shuffle.mp4,"Lateral Shuffle begins in a quarter squat position, with feet wider than hip-width apart. To initiate the movement, quickly skip the feet in a lateral direction, keeping the feet low to the ground, and keeping in a quarter squat position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Lateral_Shuffle.mp4
Standing Hip Range of Motion,Range of Motion,Lower Extremity,None,"Glutes, TFL",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Standing%20Hip%20CAR.mp4,"Standing Hip CAR begins in a tall standing position, with feet about hip-width apart, core braced, the crown of the head tall, and arms extended slightly out to the sides, with hands holding onto stable objects for stability if needed. To initiate the movement, lift one foot an inch or so away from the floor, then kick the foot slightly up across the standing leg's shine (like you were kicking a hacky sack), then bend the knee to curl the foot up towards the front of the waist, open the leg out like a door hinge, then internally rotate through the leb by pointing the knee down towards the floor, then bring the thighs parallel with one another. Then, reverse the movement by bringing the back leg from internal rotation to external rotation (like you were stepping over a fence), bringing the foot back in towards the hacky sack like position, then extend the leg back down towards the floor.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Standing_Hip_CAR.mp4
Seated Single Leg Hamstring Stretch,Stretch,Lower Extremity,None,"Hamstrings, Adductor Longus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2012%20MISC%20WL%20PT5_Single%20Leg%20Seated%20Hamstring%20Stretch.mp4,Seated Single Leg Hamstring Stretch begins sitting on the ground with working leg rotated out to approximately 45 degrees and non working leg is flexed at the knee with the foot in towards the groin. The movement is initiated with a hinge at the hip and reach into extension for the ball of the foot of the working leg.,https://d351vh8f4f3ihs.cloudfront.net/WL_2022_12_MISC_WL_PT5_Single_Leg_Seated_Hamstring_Stretch.mp4
Seated Straddle Stretch,Stretch,Lower Extremity,None,"Hamstrings, Adductor Longus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Seated%20Straddle%20Stretch.mp4,Seated Straddle Stretch begins seated on the ground with the legs straight and opened to approximately 45 degrees and the spine vertical. The movement initiates by bending at the waist and reaching forward in between the feet for the maximal stretch of the hamstring and lower back. Then returning slowly back to the vertical seated position.,https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Seated_Straddle_Stretch.mp4
